Date,Open,High,Low,Close,Volume
20-Nov-15,746.53,757.92,743.00,756.60,2213284
19-Nov-15,738.74,742.00,737.43,738.41,1327879
18-Nov-15,727.58,741.41,727.00,740.00,1684259
17-Nov-15,729.29,731.84,723.03,725.30,1510903
16-Nov-15,715.60,729.49,711.33,728.96,1905893
13-Nov-15,729.17,731.15,716.73,717.00,2075504
12-Nov-15,731.00,737.80,728.64,731.23,1837154
11-Nov-15,732.46,741.00,730.23,735.40,1366995
10-Nov-15,724.40,730.59,718.50,728.32,1607994
9-Nov-15,730.20,734.71,719.43,724.89,2069807
6-Nov-15,731.50,735.41,727.01,733.76,1511599
5-Nov-15,729.47,739.48,729.47,731.25,1861550
4-Nov-15,722.00,733.10,721.90,728.11,1706700
3-Nov-15,718.86,724.65,714.72,722.16,1565379
2-Nov-15,711.06,721.62,705.85,721.11,1886250
30-Oct-15,715.73,718.00,710.05,710.81,1908774
29-Oct-15,710.50,718.26,710.01,716.92,1455965
28-Oct-15,707.33,712.98,703.08,712.95,2178917
27-Oct-15,707.38,713.62,704.55,708.49,2245796
26-Oct-15,701.55,719.15,701.26,712.78,2716615
23-Oct-15,727.50,730.00,701.50,702.00,6653923
22-Oct-15,646.70,657.80,644.01,651.79,4070954
21-Oct-15,654.15,655.87,641.73,642.61,1794172
20-Oct-15,664.04,664.72,644.20,650.28,2498215
19-Oct-15,661.18,666.82,659.58,666.10,1477340
16-Oct-15,664.11,664.97,657.20,662.20,1611128
15-Oct-15,654.66,663.13,654.46,661.74,1885737
14-Oct-15,653.21,659.39,648.85,651.16,1415468
13-Oct-15,643.15,657.81,643.15,652.30,1807685
12-Oct-15,642.09,648.50,639.01,646.67,1276134
2-Oct-15,607.20,627.34,603.13,626.91,2684805
1-Oct-15,608.37,612.09,599.85,611.29,1867601
30-Sep-15,603.28,608.76,600.73,608.42,2413441
29-Sep-15,597.28,605.00,590.22,594.97,2310284
28-Sep-15,610.34,614.60,589.38,594.89,3127667
25-Sep-15,629.77,629.77,611.00,611.97,2174009
24-Sep-15,616.64,627.32,612.40,625.80,2240098
23-Sep-15,622.05,628.93,620.00,622.36,1470949
22-Sep-15,627.00,627.55,615.43,622.69,2562869
21-Sep-15,634.40,636.49,625.94,635.44,1788506
18-Sep-15,636.79,640.00,627.02,629.25,5133386
17-Sep-15,637.79,650.90,635.02,642.90,2274690
